total energy-propagated        0.00000000E+00  -8.6521502610E+01 +-    2.8334862747E+00   
total energy-propagated        2.50000000E-03  -1.0571966455E+02 +-    2.6934526606E+00   
total energy-propagated        5.00000000E-03  -1.0225419103E+02 +-    2.3700474782E+00   
total energy-propagated        7.50000000E-03  -1.0313835506E+02 +-    2.4665005834E+00   
total energy-propagated        1.00000000E-02  -1.0747995481E+02 +-    2.5793149760E+00   
total energy-propagated        1.25000000E-02  -1.1017005727E+02 +-    2.7344620188E+00   
total energy-propagated        1.50000000E-02  -1.2026416971E+02 +-    2.4736120867E+00   
total energy-propagated        1.75000000E-02  -1.1831008903E+02 +-    2.5713030358E+00   
total energy-propagated        2.00000000E-02  -1.2479525434E+02 +-    2.5163849649E+00   
total energy-propagated        2.25000000E-02  -1.2749769164E+02 +-    2.4970358070E+00   
total energy-propagated        2.50000000E-02  -1.3190056376E+02 +-    2.6271065299E+00   
total energy-propagated        2.75000000E-02  -1.2400510984E+02 +-    2.6924477858E+00   
total energy-propagated        3.00000000E-02  -1.3172935277E+02 +-    2.7802721696E+00   
total energy-propagated        3.25000000E-02  -1.1539026615E+02 +-    2.4782748230E+00   
total energy-propagated        3.50000000E-02  -1.2067271573E+02 +-    2.5374077232E+00   
total energy-propagated        3.75000000E-02  -1.1983002192E+02 +-    2.4428148900E+00   
total energy-propagated        4.00000000E-02  -1.1489664482E+02 +-    2.7071732713E+00   
total energy-propagated        4.25000000E-02  -1.1287374487E+02 +-    2.8538215757E+00   
total energy-propagated        4.50000000E-02  -1.2807220021E+02 +-    2.5352103774E+00   
total energy-propagated        4.75000000E-02  -1.1409930457E+02 +-    2.7055476010E+00   
total energy-propagated        5.00000000E-02  -1.1273188616E+02 +-    2.6510042511E+00   
total energy-propagated        5.25000000E-02  -1.1507871240E+02 +-    2.5048170683E+00   
total energy-propagated        5.50000000E-02  -1.2640476813E+02 +-    2.6525471001E+00   
total energy-propagated        5.75000000E-02  -1.1788001694E+02 +-    2.4326661416E+00   
total energy-propagated        6.00000000E-02  -1.1728010210E+02 +-    2.5320350401E+00   
total energy-propagated        6.25000000E-02  -1.2695810888E+02 +-    2.6366609963E+00   
total energy-propagated        6.50000000E-02  -1.3148945045E+02 +-    2.5190334068E+00   
total energy-propagated        6.75000000E-02  -1.1759921009E+02 +-    2.5493521004E+00   
total energy-propagated        7.00000000E-02  -1.2180321742E+02 +-    3.1660887736E+00   
total energy-propagated        7.25000000E-02  -1.1757494978E+02 +-    2.5350424473E+00   
total energy-propagated        7.50000000E-02  -1.2019545044E+02 +-    2.5049115786E+00   
total energy-propagated        7.75000000E-02  -1.2399656507E+02 +-    2.5754920359E+00   
total energy-propagated        8.00000000E-02  -1.1469479162E+02 +-    2.3808203844E+00   
total energy-propagated        8.25000000E-02  -1.1860601965E+02 +-    2.4248956693E+00   
total energy-propagated        8.50000000E-02  -1.1319871828E+02 +-    2.4750163751E+00   
total energy-propagated        8.75000000E-02  -1.2422801790E+02 +-    2.3613138134E+00   
total energy-propagated        9.00000000E-02  -1.1675771112E+02 +-    2.3172127920E+00   
total energy-propagated        9.25000000E-02  -1.1645193113E+02 +-    2.7253663591E+00   
total energy-propagated        9.50000000E-02  -1.1809235977E+02 +-    2.4847932645E+00   
total energy-propagated        9.75000000E-02  -1.1689449645E+02 +-    2.3466666014E+00   
