#vten
#density, Elin, dElin, Eip, dEip #All ip calculations were optimized with ip correlations
#alpha energy 4*E2n2p
0.00025  0.47  0.02
0.0005   0.39  0.02
0.00075  0.40  0.02
0.001    0.39  0.02
0.0015   0.33  0.02
0.002    0.27  0.03
0.0025   0.211 0.015
0.003    0.170 0.011
0.004    0.086 0.008
0.007    0.072 0.007
0.01     0.020 0.009
