total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =    648.391
total time for rebalance (sec) =      6.141



     cpu #       sent     received  maxnw       minnw
       283       487       527        22        16
       284       564       565        23        16
       285       494       491        23        16
       286       555       545        22        16
       287       537       527        22        17
       288       520       563        22        17
       289       586       555        23        16
       290       584       580        22        16
       291       544       587        24        16
       292       590       564        22        16
       293       557       538        22        16
       294       543       548        23        16
       295       561       556        22        17
       296       584       550        22        16
       297       555       506        22        16
       298       578       575        23        16
       299       536       564        24        16
       300       562       579        22        16
       301       560       547        22        16
       302       569       587        22        16
       303       583       599        23        17
       304       647       580        23        16
       305       566       588        22        16
       306       506       575        22        16
       307       602       582        22        17
       308       574       560        22        17
       309       553       539        23        16
       310       553       613        22        16
       311       549       578        23        16
       312       549       583        22        17
       313       547       592        22        16
       314       529       529        22        16
       315       532       521        22        16
       316       515       554        23        16
       317       532       559        22        16
       318       524       560        22        16
       319       533       529        23        16
       320       538       503        22        16
       321       581       561        22        16
       322       578       549        22        16
       323       584       562        23        16
       324       590       575        22        16
       325       525       582        23        16
       326       548       499        22        16
       327       569       579        24        15
       328       578       568        22        16
       329       520       546        22        16
       330       583       570        23        15
       331       517       500        22        16
       332       502       514        22        16
       333       519       608        22        16
       334       568       564        23        16
       335       526       606        22        17
       336       558       530        22        16
       337       513       529        22        16
       338       560       528        23        16
       339       519       532        23        16
       340       533       552        23        17
       341       517       521        23        17
       342       565       531        22        16
       343       528       534        22        17
       344       498       572        22        17
       345       530       492        26        16
       346       504       567        22        16
       347       472       556        22        17
       348       512       567        26        17
       349       535       531        22        17
       350       536       548        23        17
       351       501       489        22        16
       352       538       489        23        16
       353       571       564        22        16
       354       537       511        23        16
       355       556       527        23        16
       356       543       554        22        16
       357       501       513        22        16
       358       487       503        23        17
       359       500       532        22        15
       360       547       515        22        16
       361       529       512        23        16
       362       512       533        22        16
       363       510       556        23        16
       364       531       537        22        16
       365       535       548        23        16
       366       520       531        23        16
       367       531       562        22        16
       368       525       529        22        15
       369       537       532        24        16
       370       488       530        22        16
       371       490       494        22        17
       372       480       562        22        16
       373       558       539        23        16
       374       524       496        23        16
       375       478       563        23        16
       376       507       556        22        16
       377       520       527        22        16
       378       585       564        23        16
       379       553       530        22        17
       380       530       536        22        16
       381       534       533        23        17
       382       483       520        22        16
       383       577       543        22        16
       384       545       576        23        16
       385       532       551        22        17
       386       528       537        22        16
       387       619       546        23        16
       388       546       536        23        17
       389       511       575        23        16
       390       585       540        22        15
       391       525       541        22        15
       392       498       525        22        16
       393       549       556        22        17
       394       530       521        23        16
       395       579       562        23        16
       396       561       542        22        16
       397       543       498        23        16
       398       585       575        23        16
       399       554       564        23        17
       400       536       568        23        17
       401       554       566        22        16
       402       552       565        22        17
       403       540       543        22        16
       404       541       528        23        17
       405       570       545        23        16
       406       569       573        22        16
       407       526       564        23        15
       408       597       608        24        17
       409       558       559        23        16
       410       536       548        23        17
       411       549       535        22        17
       412       622       586        22        16
       413       577       561        23        17
       414       555       546        23        17
       415       496       586        22        17
       416       572       548        22        16
       417       558       552        23        16
       418       589       616        24        16
       419       550       515        23        17
       420       585       596        23        16
       421       574       549        23        17
       422       550       586        22        17
       423       551       533        23        16
       424       527       558        22        17
       425       576       574        22        17
       426       515       586        22        17
       427       554       545        22        16
       428       578       525        23        16
       429       550       579        23        17
       430       563       589        23        16
       431       559       501        23        16
       432       560       538        22        16
       433       623       579        23        15
       434       540       574        25        16
       435       560       548        23        15
       436       538       544        23        16
       437       569       524        24        16
       438       592       536        23        16
       439       518       581        23        17
       440       597       588        23        17
       441       556       538        23        17
       442       610       562        22        17
       443       568       573        23        17
       444       570       555        23        16
       445       565       540        23        17
       446       588       562        23        17
       447       521       586        23        17
       448       547       523        22        17
       449       533       546        23        17
       450       571       579        23        16
       451       576       544        23        16
       452       553       562        22        16
       453       541       529        22        16
       454       581       585        23        16
       455       591       589        23        17
       456       564       585        22        16
       457       555       578        23        17
       458       564       610        23        16
       459       511       589        22        17
       460       596       577        22        17
       461       549       587        22        16
       462       581       570        23        16
       463       522       559        22        17
       464       596       550        23        17
       465       578       581        22        17
       466       578       564        23        17
       467       559       580        23        17
       468       605       566        23        16
       469       547       556        24        17
       470       570       520        22        17
       471       592       591        23        16
       472       545       570        22        17
       473       524       561        22        16
       474       538       573        23        17
       475       554       585        23        17
       476       591       574        23        16
       477       557       563        22        17
       478       579       551        23        17
       479       639       542        23        17
       480       601       605        23        16
       481       573       583        22        17
       482       580       538        23        17
       483       548       593        24        17
       484       551       612        23        16
       485       656       586        24        16
       486       611       578        23        17
       487       549       564        22        17
       488       531       574        23        17
       489       552       579        23        17
       490       568       619        23        16
       491       546       578        23        16
       492       588       566        23        17
       493       565       600        23        17
       494       561       544        23        17
       495       536       560        23        16
       496       576       525        23        17
       497       561       582        23        16
       498       579       608        23        17
       499       592       550        23        17

     total    268228    268228     11181      8053


checkpop calls        5000
rebalance calls       5000

number of walkers   47946910

number of walkers moved      0.559 %
