  0.4000000E+00 -0.1485363E+01  0.5206188E-01 -0.1485363E+01  0.0000000E+00
  0.4010000E+00 -0.1446059E+01  0.6692406E-01 -0.1465711E+01  0.1389617E-01
  0.4020000E+00 -0.1482631E+01  0.5345935E-01 -0.1471351E+01  0.1034557E-01
  0.4030000E+00 -0.1350761E+01  0.7928999E-01 -0.1441204E+01  0.2723707E-01
  0.4040000E+00 -0.1479971E+01  0.5812111E-01 -0.1448957E+01  0.2286664E-01
  0.4050000E+00 -0.1349996E+01  0.6875756E-01 -0.1432464E+01  0.2428602E-01
  0.4060000E+00 -0.1396899E+01  0.6892637E-01 -0.1427383E+01  0.2134142E-01
  0.4070000E+00 -0.1486875E+01  0.7424220E-01 -0.1434819E+01  0.1992732E-01
  0.4080000E+00 -0.1486159E+01  0.6304611E-01 -0.1440524E+01  0.1851165E-01
  0.4090000E+00 -0.1529966E+01  0.5341703E-01 -0.1449468E+01  0.1869679E-01
  0.4100000E+00 -0.1477724E+01  0.6683920E-01 -0.1452037E+01  0.1717263E-01
  0.4110000E+00 -0.1507284E+01  0.5957499E-01 -0.1456641E+01  0.1634710E-01
  0.4120000E+00 -0.1462338E+01  0.5711880E-01 -0.1457079E+01  0.1509550E-01
  0.4130000E+00 -0.1370900E+01  0.7072450E-01 -0.1450923E+01  0.1522068E-01
  0.4140000E+00 -0.1509260E+01  0.7263640E-01 -0.1454812E+01  0.1469443E-01
  0.4150000E+00 -0.1397815E+01  0.6977385E-01 -0.1451250E+01  0.1420126E-01
  0.4160000E+00 -0.1216345E+01  0.6987814E-01 -0.1437432E+01  0.1893016E-01
  0.4170000E+00 -0.1348592E+01  0.6874486E-01 -0.1432497E+01  0.1851072E-01
  0.4180000E+00 -0.1343872E+01  0.6601628E-01 -0.1427832E+01  0.1811463E-01
  0.4190000E+00 -0.1377154E+01  0.6169437E-01 -0.1425298E+01  0.1738521E-01
  0.4200000E+00 -0.1335087E+01  0.6340562E-01 -0.1421002E+01  0.1707983E-01
  0.4210000E+00 -0.1338546E+01  0.5931143E-01 -0.1417254E+01  0.1670965E-01
  0.4220000E+00 -0.1386665E+01  0.6622295E-01 -0.1415924E+01  0.1603598E-01
  0.4230000E+00 -0.1422311E+01  0.5034082E-01 -0.1416191E+01  0.1537002E-01
  0.4240000E+00 -0.1452285E+01  0.5458506E-01 -0.1417634E+01  0.1482288E-01
  0.4250000E+00 -0.1395669E+01  0.5994595E-01 -0.1416790E+01  0.1427683E-01
  0.4260000E+00 -0.1478276E+01  0.5100924E-01 -0.1419067E+01  0.1392849E-01
  0.4270000E+00 -0.1444042E+01  0.5312473E-01 -0.1419959E+01  0.1345957E-01
  0.4280000E+00 -0.1406239E+01  0.5712923E-01 -0.1419486E+01  0.1300376E-01
  0.4290000E+00 -0.1334242E+01  0.5236839E-01 -0.1416644E+01  0.1287701E-01
  0.4300000E+00 -0.1559182E+01  0.6518631E-01 -0.1421242E+01  0.1325713E-01
  0.4310000E+00 -0.1397582E+01  0.5797852E-01 -0.1420503E+01  0.1286345E-01
  0.4320000E+00 -0.1302950E+01  0.6562122E-01 -0.1416941E+01  0.1295749E-01
  0.4330000E+00 -0.1432584E+01  0.5657154E-01 -0.1417401E+01  0.1258456E-01
  0.4340000E+00 -0.1480214E+01  0.8081530E-01 -0.1419195E+01  0.1235230E-01
  0.4350000E+00 -0.1438363E+01  0.5732712E-01 -0.1419728E+01  0.1202065E-01
  0.4360000E+00 -0.1322091E+01  0.8653398E-01 -0.1417089E+01  0.1198191E-01
  0.4370000E+00 -0.1308287E+01  0.5584380E-01 -0.1414226E+01  0.1200382E-01
  0.4380000E+00 -0.1238143E+01  0.5686842E-01 -0.1409711E+01  0.1251636E-01
  0.4390000E+00 -0.1339216E+01  0.9132747E-01 -0.1407948E+01  0.1232691E-01
  0.4400000E+00 -0.1320659E+01  0.6990832E-01 -0.1405819E+01  0.1220872E-01
  0.4410000E+00 -0.1349161E+01  0.5282640E-01 -0.1404470E+01  0.1199233E-01
  0.4420000E+00 -0.1283913E+01  0.6566760E-01 -0.1401667E+01  0.1203671E-01
  0.4430000E+00 -0.1385087E+01  0.4896498E-01 -0.1401290E+01  0.1176905E-01
  0.4440000E+00 -0.1368221E+01  0.5251119E-01 -0.1400555E+01  0.1153043E-01
  0.4450000E+00 -0.1336630E+01  0.5153354E-01 -0.1399165E+01  0.1136321E-01
  0.4460000E+00 -0.1311061E+01  0.5757008E-01 -0.1397291E+01  0.1127500E-01
  0.4470000E+00 -0.1368074E+01  0.5283229E-01 -0.1396682E+01  0.1105652E-01
  0.4480000E+00 -0.1441811E+01  0.4949979E-01 -0.1397603E+01  0.1086917E-01
