total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =   2131.446
total time for rebalance (sec) =      6.318



     cpu #       sent     received  maxnw       minnw
       283       191       182        23        18
       284       137       162        23        17
       285       141       166        24        16
       286       159       159        23        19
       287       161       153        23        17
       288       170       163        24        18
       289       153       166        24        18
       290       157       162        23        16
       291       191       172        23        18
       292       174       175        24        16
       293       170       167        24        16
       294       140       173        23        17
       295       143       176        23        16
       296       187       170        24        17
       297       181       183        24        18
       298       174       157        24        16
       299       152       170        24        19
       300       187       173        24        16
       301       190       190        24        18
       302       172       163        24        18
       303       149       162        23        17
       304       174       157        23        17
       305       155       159        23        17
       306       174       160        23        16
       307       148       161        24        18
       308       196       177        24        17
       309       157       144        24        18
       310       181       159        23        18
       311       186       160        24        18
       312       209       166        24        17
       313       211       151        24        17
       314       143       156        24        18
       315       148       173        23        17
       316       175       163        24        18
       317       164       158        24        16
       318       141       155        23        18
       319       155       155        24        17
       320       155       157        24        16
       321       209       170        24        17
       322       196       171        23        18
       323       206       166        24        16
       324       148       151        24        17
       325       147       168        23        18
       326       188       178        24        17
       327       159       162        23        17
       328       163       151        24        17
       329       186       174        23        17
       330       155       168        23        18
       331       170       147        23        16
       332       189       156        24        18
       333       142       171        23        16
       334       150       167        24        18
       335       182       182        23        16
       336       157       149        23        17
       337       166       160        24        18
       338       147       174        24        17
       339       171       178        24        18
       340       128       170        23        17
       341       201       167        24        17
       342       136       175        23        17
       343       142       179        24        17
       344       155       150        23        17
       345       170       161        23        17
       346       196       187        24        18
       347       182       153        24        19
       348       150       175        23        17
       349       142       149        23        16
       350       130       149        23        18
       351       122       166        24        17
       352       160       155        24        19
       353       157       159        24        16
       354       148       155        24        18
       355       156       165        23        17
       356       185       172        24        17
       357       193       153        24        18
       358       151       153        23        17
       359       183       161        24        17
       360       141       158        24        17
       361       134       166        24        17
       362       182       171        24        17
       363       158       171        24        16
       364       212       174        24        16
       365       157       160        23        18
       366       186       171        24        18
       367       158       162        24        17
       368       160       155        24        16
       369       169       146        23        17
       370       155       166        23        16
       371       174       156        24        19
       372       129       146        23        18
       373       143       159        23        16
       374       140       161        23        18
       375       160       169        23        17
       376       204       177        24        18
       377       181       156        23        17
       378       141       165        23        17
       379       166       181        24        16
       380       164       143        24        19
