total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =    677.616
total time for rebalance (sec) =      6.561



     cpu #       sent     received  maxnw       minnw

         0       222       200        23        15
         1       169       211        22        16
         2       243       217        23        16
         3       206       206        23        15
         4       249       213        22        16
         5       220       234        22        14
         6       227       235        23        15
         7       207       232        23        14
         8       205       218        23        16
         9       234       229        22        17
        10       246       224        23        14
        11       216       240        22        14
        12       236       239        23        16
        13       244       229        23        16
        14       281       260        23        14
        15       249       238        23        17
        16       229       243        23        15
        17       221       228        23        15
        18       228       269        23        17
        19       253       225        23        17
        20       259       244        23        16
        21       217       232        23        17
        22       226       237        23        17
        23       264       262        23        17
        24       208       240        23        16
        25       245       248        23        17
        26       253       225        23        17
        27       249       242        24        16
        28       266       250        23        17
        29       253       245        23        15
        30       197       221        23        18
        31       221       239        23        16
        32       241       240        23        16
        33       220       226        23        16
        34       234       239        23        16
        35       239       231        23        16
        36       230       223        23        17
        37       243       246        23        17
        38       261       251        23        16
        39       240       237        23        13
        40       244       245        23        16
        41       222       242        24        16
        42       241       238        23        17
        43       250       240        23        14
        44       253       208        23        16
        45       198       239        23        16
        46       238       227        23        16
        47       253       238        23        16
        48       208       235        23        16
        49       221       212        23        16
        50       227       236        23        16
        51       216       213        23        15
        52       247       243        24        17
        53       235       224        24        17
        54       214       233        23        16
        55       228       199        23        17
        56       209       234        23        15
        57       226       219        23        17
        58       205       232        23        17
        59       238       203        23        17
        60       224       225        23        16
        61       197       228        23        12
        62       249       244        23        15
        63       248       243        23        17
        64       231       248        23        15
        65       268       225        23        16
        66       260       235        24        16
        67       250       212        23        17
        68       237       235        23        15
        69       213       232        23        17
        70       219       205        23        17
        71       225       217        23        16
        72       217       231        23        16
        73       263       235        23        16
        74       233       233        24        17
        75       212       252        23        15
        76       233       228        23        16
        77       214       220        23        17
        78       257       225        23        17
        79       223       230        24        16
        80       224       213        24        16
        81       218       218        23        17
        82       208       216        23        17
        83       249       241        24        15
        84       217       234        24        15
        85       209       246        23        15
        86       238       218        23        16
        87       244       238        24        17
        88       245       224        23        15
        89       220       241        23        16
        90       242       219        24        17
        91       234       230        23        16
        92       228       234        24        16
        93       222       235        23        15
        94       214       213        23        18
        95       216       224        23        16
        96       261       235        23        15
        97       228       229        23        15
        98       238       229        24        17
        99       250       235        24        17
       100       205       229        23        17
       101       215       219        23        16
       102       231       220        24        17
       103       211       211        23        17
       104       230       226        23        16
       105       250       255        24        15
       106       241       219        24        17
       107       205       230        23        16
       108       253       244        23        15
