#system, ip, quad
4, 1.73190, 2.00187 #9.13141, 15.81466, 18.27991
16, 30.73935, 58.82863 #7.93567, 243.93736, 466.84463
28, 64.77175, 133.5889 #25.21905, 1633.48208602, 2*1684.493
40, 720.913273266, 1473.94073089 #8.3168
