# #, system, linear, linearSigma, ip, ipSigma, quad, quadSigma, experimental
1, 4,    -5.955,  0.010,   -6.113,  0.008,   -6.275,  0.005
2, 16,   -3.581,  0.003,   -5.338,  0.003,   -5.463,  0.003
3, 40,   -2.88,   0.05,    -5.35,   0.05,    -5.23,   0.05
4, 28,   -8.25,   0.04,    -10.60,  0.03,    -10.74,  0.02
