total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =  12119.160
total time for rebalance (sec) =      6.770



     cpu #       sent     received  maxnw       minnw
       283       678       625        24        17
       284       626       638        24        15
       285       664       621        24        18
       286       630       636        25        18
       287       611       663        24        17
       288       633       662        25        16
       289       581       635        24        17
       290       631       664        24        14
       291       659       647        24        17
       292       612       663        24        17
       293       660       582        25        18
       294       648       646        24        17
       295       613       596        24        17
       296       672       644        24        17
       297       677       633        25        17
       298       647       619        24        17
       299       636       649        25        16
       300       626       635        24        16
       301       582       650        26        16
       302       616       614        24        17
       303       652       679        24        18
       304       641       619        24        16
       305       624       619        25        18
       306       635       587        24        15
       307       675       588        25        17
       308       608       624        24        17
       309       667       627        24        16
       310       643       632        24        16
       311       708       645        25        15
       312       643       598        25        18
       313       601       627        24        17
       314       688       613        25        17
       315       599       638        24        17
       316       670       608        24        17
       317       652       622        24        17
       318       594       618        24        16
       319       606       718        24        16
       320       647       682        24        17
       321       600       643        24        15
       322       605       598        25        17
       323       608       646        24        17
       324       651       678        24        17
       325       654       641        25        16
       326       626       643        25        17
       327       610       638        24        17
       328       648       648        24        17
       329       636       656        24        17
       330       636       644        25        17
       331       584       653        24        16
       332       632       640        24        17
       333       701       678        25        18
       334       644       661        25        17
       335       698       606        25        16
       336       633       631        24        17
       337       609       698        24        15
       338       700       654        25        17
       339       646       645        24        17
       340       642       646        25        17
       341       666       671        24        17
       342       616       627        25        16
       343       617       672        24        16
       344       670       654        25        18
       345       666       656        25        16
       346       652       667        24        15
       347       655       656        24        17
       348       641       697        25        16
       349       659       682        24        17
       350       616       658        24        16
       351       605       644        24        17
       352       698       643        24        16
       353       690       628        25        17
       354       585       640        24        18
       355       643       657        25        17
       356       622       636        24        16
       357       614       635        24        16
       358       657       640        24        17
       359       649       634        25        18
       360       679       670        24        16
       361       653       668        24        16
       362       596       688        24        17
       363       702       679        24        17
       364       649       652        24        16
       365       709       646        24        17
       366       629       660        24        17
       367       651       686        25        17
       368       620       663        24        16
       369       659       654        24        17
       370       598       638        26        16
       371       670       646        25        18
       372       619       656        25        18
       373       599       636        24        17
       374       671       629        25        17
       375       625       635        24        17
       376       660       656        26        18
       377       717       678        24        16
       378       619       643        26        16
       379       689       657        25        15
       380       620       651        24        18
       381       618       672        25        18
       382       653       637        24        18
       383       636       658        24        17
       384       610       676        24        18
       385       705       668        25        17
       386       630       632        24        16
       387       663       640        25        16
       388       654       635        25        15
       389       626       638        26        17
       390       638       665        25        17
       391       662       664        25        16
       392       628       586        25        18
       393       602       627        24        15
       394       670       637        24        18
       395       644       670        25        17
       396       614       685        24        16
       397       615       660        24        16
       398       603       633        24        18
       399       621       639        24        17
       400       627       665        24        18
       401       657       657        25        17
       402       629       646        24        15
       403       634       679        24        17
       404       645       583        25        17
       405       660       650        25        17
       406       664       706        24        17
       407       633       645        24        16
       408       619       634        24        17
       409       638       689        25        16
       410       635       644        24        17
       411       613       652        25        17
       412       665       645        25        15
       413       654       665        25        16
       414       618       636        25        14
       415       676       626        24        18
       416       703       576        24        14
       417       582       644        25        16
       418       650       624        24        18
       419       600       605        24        17
       420       625       566        25        17
       421       679       618        25        16
       422       674       630        25        16
       423       632       646        25        18
       424       637       658        24        16
       425       651       628        25        16
       426       634       623        24        17
       427       684       639        25        17
       428       634       622        25        16
       429       684       647        24        17
       430       666       660        25        18
       431       675       700        25        17
       432       651       664        24        17
       433       658       638        25        18
       434       614       671        24        16
       435       604       593        24        15
       436       650       658        24        16
       437       670       621        24        16
       438       684       630        24        18
       439       734       640        25        17
       440       646       670        24        16
       441       603       663        24        16
       442       624       626        24        17
       443       678       592        24        18
       444       629       662        24        18
       445       639       597        24        18
       446       658       646        25        18
       447       645       697        25        17
       448       632       652        25        17
       449       680       630        24        16
       450       649       629        25        18
       451       669       644        25        18
       452       663       680        24        17
       453       683       635        25        17
       454       645       674        25        18
       455       619       636        25        18
       456       695       670        26        17
       457       616       643        25        16
       458       642       616        25        17
       459       632       638        25        16
       460       652       661        25        17
       461       645       615        25        18
       462       639       613        25        17
       463       636       695        24        15
       464       625       651        25        17
       465       663       649        24        17
       466       694       625        25        18
       467       605       647        25        17
       468       639       624        24        18
       469       669       628        24        17
       470       622       624        25        17
       471       599       648        25        18
       472       625       632        24        18
       473       637       635        25        16
       474       650       665        25        17
       475       679       648        24        18
       476       642       632        26        17
       477       662       608        25        17
       478       646       593        26        17
       479       632       647        25        17
       480       644       666        24        17
       481       659       678        25        17
       482       629       650        24        18
       483       619       649        25        15
       484       642       634        25        18
       485       637       657        24        17
       486       668       634        25        17
       487       677       675        24        17
       488       649       704        25        13
       489       657       643        24        18
       490       608       656        25        17
       491       680       682        24        18
       492       671       635        25        16
       493       643       631        24        18
       494       633       645        25        17
       495       636       611        24        18
       496       622       626        25        18
       497       622       636        25        16
       498       694       627        25        18
       499       626       637        25        17

     total    318567    318567     12167      8342


checkpop calls        5000
rebalance calls       5000

number of walkers   52358008

number of walkers moved      0.608 %
