total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =    833.906
total time for rebalance (sec) =      6.271



     cpu #       sent     received  maxnw       minnw
       283       191       188        23        17
       284       176       140        24        19
       285       176       191        24        16
       286       162       149        24        16
       287       171       169        24        17
       288       196       179        24        17
       289       165       162        24        18
       290       167       168        23        17
       291       134       178        23        16
       292       150       140        23        17
       293       155       169        23        16
       294       127       166        23        16
       295       171       166        24        17
       296       180       174        23        17
       297       183       161        24        17
       298       178       168        23        18
       299       164       176        23        15
       300       150       160        23        18
       301       156       164        24        17
       302       133       184        24        16
       303       158       183        23        19
       304       169       176        24        18
       305       189       161        24        19
       306       164       153        24        17
       307       163       164        23        18
       308       171       172        25        16
       309       161       168        23        17
       310       163       146        24        18
       311       170       172        23        17
       312       175       155        23        18
       313       165       159        23        18
       314       180       157        24        19
       315       170       190        24        17
       316       171       192        23        17
       317       154       163        23        17
       318       171       180        23        18
       319       187       176        24        18
       320       189       148        24        17
       321       167       165        24        18
       322       165       170        24        16
       323       178       178        23        16
       324       176       177        24        17
       325       177       178        24        18
       326       152       142        23        18
       327       181       168        24        18
       328       144       157        24        15
       329       173       169        24        17
       330       192       170        23        17
       331       181       166        23        18
       332       158       168        24        16
       333       167       154        23        16
       334       164       163        23        17
       335       194       182        24        17
       336       151       165        23        17
       337       134       142        23        18
       338       143       159        24        17
       339       168       143        23        16
       340       161       148        24        15
       341       157       160        24        17
       342       154       165        23        18
       343       148       186        24        14
       344       157       163        24        16
       345       138       177        23        17
       346       206       167        24        18
       347       160       166        23        16
       348       153       145        23        18
       349       154       155        23        17
       350       163       147        24        17
       351       162       185        24        17
       352       167       169        24        17
       353       163       164        24        16
       354       178       176        23        17
       355       177       176        24        18
       356       131       165        23        17
       357       140       182        23        17
       358       144       158        24        16
       359       121       140        23        18
       360       148       169        24        17
       361       176       165        24        17
       362       166       181        25        17
       363       160       185        24        15
       364       191       176        24        17
       365       131       156        23        17
       366       173       167        23        15
       367       159       184        24        18
       368       165       161        24        17
       369       161       166        23        17
       370       155       158        24        17
       371       163       182        24        16
       372       182       177        24        17
       373       170       177        23        16
       374       143       146        23        19
       375       173       190        23        17
       376       198       198        24        16
       377       198       177        25        18
       378       171       188        23        16
       379       164       166        24        18
       380       175       163        24        18
       381       149       176        24        18
       382       202       166        24        18
       383       143       156        23        16
       384       144       168        24        17
       385       137       172        24        16
       386       189       186        24        18
       387       150       166        23        16
       388       200       184        23        17
       389       160       154        24        16
       390       156       164        23        17
       391       160       160        24        15
       392       185       187        23        17
       393       155       156        24        16
       394       141       178        23        17
       395       155       159        24        16
       396       221       184        24        17
       397       141       188        24        18
       398       179       184        24        16
       399       151       165        24        18
       400       179       162        23        16
       401       181       176        24        17
       402       150       163        24        17
       403       136       185        24        16
       404       175       175        24        17
       405       165       172        23        17
       406       176       153        23        18
       407       163       173        23        16
       408       168       150        24        18
       409       138       172        24        17
       410       146       168        23        17
       411       160       159        24        17
       412       213       169        24        16
       413       129       154        24        18
       414       179       176        24        18
       415       190       181        23        17
       416       179       166        24        17
       417       164       178        24        18
       418       189       181        24        16
       419       171       166        23        17
       420       163       164        23        17
       421       227       190        24        17
       422       175       155        24        18
       423       173       176        23        17
       424       153       156        24        17
       425       156       166        24        17
       426       173       162        24        15
       427       176       157        24        15
       428       180       174        24        16
       429       174       177        23        18
       430       185       174        24        19
       431       128       171        23        16
       432       164       164        24        16
       433       205       186        23        18
       434       190       178        24        18
       435       163       168        23        17
       436       153       169        23        15
       437       184       187        24        18
       438       180       164        24        18
       439       172       175        24        16
       440       143       176        23        17
       441       174       190        24        16
       442       152       179        23        16
       443       171       194        24        16
       444       159       170        23        18
       445       135       173        24        18
       446       175       188        24        17
       447       204       187        23        17
       448       165       166        23        17
       449       164       183        24        17
       450       171       175        24        16
       451       197       171        24        16
       452       162       186        24        17
       453       174       176        23        16
       454       156       155        24        18
       455       159       155        23        18
       456       141       141        24        18
       457       184       171        24        17
       458       158       166        24        17
       459       157       160        23        15
       460       138       179        23        17
       461       183       165        24        18
       462       176       175        24        17
       463       167       157        24        17
       464       172       181        24        16
       465       134       141        24        16
       466       162       173        24        17
       467       217       184        24        17
       468       148       148        23        18
       469       158       165        24        17
       470       175       160        24        16
       471       144       170        24        16
       472       158       164        24        16
       473       169       159        24        18
       474       190       176        23        18
       475       148       142        23        18
       476       172       170        24        17
       477       150       153        23        16
       478       166       153        24        18
       479       163       153        23        17
       480       160       160        24        18
       481       143       169        23        17
       482       199       155        24        18
       483       171       189        24        18
       484       188       192        23        17
       485       203       173        24        18
       486       163       183        24        17
       487       161       152        24        17
       488       148       167        23        16
       489       193       197        24        17
       490       165       167        24        16
       491       163       167        23        17
       492       163       161        24        17
       493       174       185        24        15
       494       167       165        23        16
       495       159       171        23        18
       496       168       174        23        18
       497       188       174        24        16
       498       150       154        24        19
       499       184       153        23        18

     total     83388     83388     11715      8465


checkpop calls        5000
rebalance calls       5000

number of walkers   52406852

number of walkers moved      0.159 %
