total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =   5854.040
total time for rebalance (sec) =      6.141



     cpu #       sent     received  maxnw       minnw

         0       537       537        22        15
         1       510       522        23        16
         2       562       533        22        16
         3       521       484        21        15
         4       536       502        21        16
         5       498       493        21        16
         6       547       512        21        16
         7       552       507        23        16
         8       562       538        22        15
         9       490       555        21        16
        10       546       507        23        16
        11       512       525        22        15
        12       549       490        22        15
        13       545       497        21        15
        14       551       543        22        16
        15       513       508        21        15
        16       495       519        22        16
        17       507       547        22        15
        18       497       524        21        16
        19       517       518        22        15
        20       498       516        22        16
        21       517       479        22        16
        22       548       491        23        16
        23       511       508        22        16
        24       531       510        22        16
        25       491       522        22        16
        26       459       514        22        16
        27       511       490        21        15
        28       534       486        22        16
        29       520       526        23        15
        30       479       537        22        16
        31       519       555        23        16
        32       517       514        22        16
        33       512       499        22        16
        34       500       465        22        16
        35       480       501        21        16
        36       496       525        23        16
        37       501       507        22        16
        38       457       467        22        16
        39       510       506        22        16
        40       507       555        22        16
        41       542       550        24        15
        42       530       517        25        16
        43       527       544        21        15
        44       480       509        23        15
        45       491       482        22        15
        46       515       516        22        16
        47       537       535        22        16
        48       510       517        23        14
        49       562       545        23        15
        50       532       550        22        15
        51       536       522        22        15
        52       547       573        22        15
        53       522       512        22        16
        54       531       554        22        16
        55       521       517        22        15
        56       521       575        22        15
        57       532       533        22        16
        58       530       512        22        16
        59       537       542        22        16
        60       591       564        22        15
        61       514       560        22        16
        62       488       574        22        15
        63       522       496        22        16
        64       549       546        22        16
        65       545       526        23        16
        66       524       560        22        15
        67       529       560        22        15
        68       517       527        22        15
        69       613       554        22        16
        70       525       533        22        16
        71       539       536        22        16
        72       533       516        22        16
        73       587       522        22        16
        74       505       542        22        16
        75       543       569        22        16
        76       515       525        24        16
        77       540       535        22        16
        78       533       520        22        16
        79       545       557        22        16
        80       505       500        22        16
        81       546       547        22        15
        82       548       523        22        16
        83       487       545        22        16
        84       531       542        22        16
        85       529       547        23        16
        86       501       527        22        15
        87       508       562        21        16
        88       547       503        23        16
        89       541       546        22        15
        90       509       543        23        16
        91       532       541        22        16
        92       519       518        22        16
        93       607       481        22        15
        94       508       533        22        16
        95       549       491        22        16
        96       570       530        22        16
        97       512       527        22        16
        98       462       524        22        16
        99       489       485        22        16
       100       500       549        22        16
       101       511       522        22        16
       102       543       542        23        16
       103       475       514        24        15
       104       566       501        22        16
       105       487       545        22        16
       106       521       528        22        16
       107       537       550        22        16
       108       524       515        22        16
       109       501       495        22        16
       110       486       489        22        16
       111       485       543        22        16
       112       532       557        22        16
       113       538       494        22        16
       114       541       571        23        16
       115       485       535        22        16
       116       548       539        23        16
       117       506       519        22        16
       118       537       553        23        15
       119       500       485        22        15
       120       555       582        22        15
       121       530       464        23        16
       122       461       515        22        16
       123       497       483        22        16
       124       522       545        22        15
       125       521       468        21        15
       126       559       549        22        16
       127       546       546        22        16
       128       524       542        22        16
       129       517       464        22        16
       130       540       554        22        16
       131       512       533        22        15
       132       532       536        22        16
       133       500       538        22        15
       134       521       518        22        15
       135       514       521        22        16
       136       534       494        22        16
       137       518       539        24        16
       138       506       539        22        16
       139       539       532        23        15
       140       535       538        22        16
       141       515       529        22        16
       142       494       511        22        16
       143       518       483        22        16
       144       547       503        22        16
       145       519       516        23        16
       146       527       496        22        15
       147       509       470        22        16
       148       528       514        22        15
       149       557       533        22        16
       150       490       516        22        15
       151       531       530        22        15
       152       500       503        22        15
       153       512       522        21        16
       154       518       562        23        16
       155       571       522        23        16
       156       515       510        22        15
       157       539       525        23        16
       158       528       510        22        16
       159       539       497        22        16
       160       583       550        23        16
       161       551       529        22        16
       162       500       540        22        16
       163       569       552        22        16
       164       553       514        23        15
       165       538       537        22        16
       166       539       560        22        15
       167       575       539        22        16
       168       517       532        21        16
       169       522       565        22        16
       170       524       553        22        16
       171       553       573        22        16
       172       581       573        22        16
       173       597       582        22        16
       174       539       523        22        16
       175       469       557        22        16
       176       508       529        22        16
       177       520       517        22        16
       178       563       516        23        16
       179       553       554        22        16
       180       519       578        22        15
       181       549       535        22        16
       182       533       532        22        16
       183       557       563        22        16
       184       572       568        23        16
       185       504       561        22        15
       186       516       540        24        16
       187       570       564        22        15
       188       594       557        22        15
       189       557       561        22        16
       190       591       525        22        16
       191       509       555        22        15
       192       559       528        23        15
       193       562       549        22        15
       194       543       483        22        16
       195       571       552        23        16
       196       530       593        22        15
       197       549       514        24        15
       198       503       540        23        15
       199       498       529        24        16
       200       526       517        22        16
       201       530       525        22        16
       202       510       494        22        15
       203       531       473        22        15
       204       525       532        22        16
       205       512       520        22        15
       206       512       512        22        14
       207       518       527        23        16
       208       564       537        24        16
       209       495       541        22        15
       210       513       532        22        16
       211       547       532        22        16
       212       510       500        22        16
       213       549       527        22        16
       214       519       533        22        16
       215       521       517        22        16
       216       542       531        23        13
       217       575       521        22        16
       218       526       499        22        16
       219       561       479        22        16
       220       479       527        22        16
       221       501       508        22        16
       222       498       496        22        16
       223       497       510        22        16
       224       509       492        22        16
       225       522       515        22        16
       226       498       524        22        15
       227       490       535        22        16
       228       544       542        22        16
       229       550       496        22        16
       230       566       537        23        15
       231       554       526        22        16
       232       497       477        22        16
       233       517       547        22        16
       234       497       489        22        16
       235       542       519        23        16
       236       525       513        23        16
       237       524       524        22        16
       238       506       510        22        16
       239       539       510        22        16
       240       504       540        22        16
       241       558       502        22        16
       242       554       537        22        16
       243       551       556        22        16
       244       505       486        22        16
       245       533       533        22        16
       246       550       516        22        16
       247       576       523        22        16
       248       545       590        22        16
       249       531       517        22        16
       250       542       517        24        16
       251       554       515        23        15
       252       575       518        22        16
       253       537       542        22        16
       254       515       530        23        16
       255       514       560        23        16
       256       485       515        23        16
       257       531       539        22        16
       258       531       523        22        16
       259       534       528        23        16
       260       517       499        22        16
       261       555       494        23        16
       262       544       517        22        16
       263       497       529        23        16
       264       581       553        22        16
       265       520       534        22        16
       266       567       549        22        16
       267       552       522        22        15
       268       523       551        22        15
       269       546       494        22        16
       270       537       530        23        16
       271       532       560        23        16
       272       532       485        22        16
       273       479       542        22        16
       274       556       515        22        15
       275       557       534        23        16
       276       505       533        22        16
       277       512       543        22        16
       278       537       558        22        16
       279       585       548        22        16
       280       497       499        22        16
       281       514       549        22        15
       282       536       556        22        16
       283       521       499        22        16
       284       523       527        22        15
       285       504       514        22        16
       286       539       539        22        15
       287       596       563        22        16
       288       526       544        23        16
       289       547       501        23        16
       290       504       513        22        16
       291       523       519        22        16
       292       530       491        22        16
       293       470       534        22        16
       294       502       515        22        16
       295       516       474        22        16
       296       541       568        22        16
       297       542       525        23        16
       298       500       541        22        16
       299       493       514        22        16
       300       499       499        22        16
       301       542       533        23        16
       302       517       541        22        16
       303       506       520        22        15
       304       506       538        22        16
       305       536       513        23        16
       306       525       565        22        16
       307       508       544        22        16
       308       549       523        23        16
       309       518       520        22        16
       310       582       565        22        16
       311       570       497        22        16
       312       507       544        23        15
       313       523       536        22        16
       314       514       589        22        16
       315       521       481        22        16
       316       557       521        23        16
       317       537       545        22        16
       318       506       545        22        16
       319       512       509        22        16
       320       581       549        22        16
       321       593       513        22        16
       322       517       572        22        17
       323       560       526        22        16
       324       532       484        22        16
       325       526       513        23        16
       326       533       556        23        16
       327       552       528        22        16
       328       538       510        22        16
       329       553       533        23        16
       330       611       526        22        16
       331       528       516        23        16
       332       510       524        23        17
       333       542       554        22        16
       334       561       565        22        16
       335       521       505        24        16
       336       577       561        22        16
       337       533       556        22        16
       338       552       519        23        16
       339       602       601        23        14
       340       578       556        22        15
       341       511       558        22        14
       342       573       572        22        16
       343       523       497        22        17
       344       535       534        22        16
       345       540       568        22        16
       346       520       481        23        16
       347       496       504        22        17
       348       513       578        23        16
       349       515       553        22        16
       350       543       535        23        16
       351       530       542        23        16
       352       518       554        22        16
       353       516       547        22        16
       354       502       521        22        16
       355       515       555        22        16
       356       529       531        22        16
       357       556       558        22        16
       358       510       570        23        16
       359       535       525        22        16
       360       607       560        23        15
       361       553       525        23        16
       362       551       540        22        16
       363       584       543        22        16
       364       571       564        23        16
       365       541       560        23        17
       366       500       552        22        16
       367       565       534        23        16
       368       520       568        22        16
       369       558       557        22        16
       370       538       580        22        16
       371       539       558        22        16
       372       617       561        22        16
       373       519       582        22        16
       374       507       527        22        16
       375       536       516        22        16
       376       499       511        22        16
       377       577       506        22        17
       378       551       547        23        16
       379       513       502        22        16
       380       519       556        23        16
       381       536       539        23        16
       382       532       546        22        16
       383       561       519        23        15
       384       523       577        22        16
       385       518       535        22        17
       386       476       543        22        15
       387       541       556        22        16
       388       568       534        22        16
       389       523       547        22        16
       390       525       558        24        16
       391       510       493        22        17
       392       552       544        23        17
       393       543       542        22        17
       394       499       529        22        16
       395       571       568        23        16
       396       503       547        22        17
       397       544       538        23        16
       398       531       560        22        17
       399       501       538        23        16
       400       511       520        22        15
       401       590       528        22        16
       402       514       500        22        17
       403       532       538        23        16
