total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =    866.907
total time for rebalance (sec) =      7.248



     cpu #       sent     received  maxnw       minnw

         0       721       678        23        15
         1       629       693        24        16
         2       744       712        24        15
         3       730       658        24        15
         4       671       686        23        15
         5       693       679        24        15
         6       688       739        23        14
         7       723       745        23        16
         8       678       712        24        16
         9       701       713        23        16
        10       699       740        24        16
        11       782       677        24        14
        12       696       735        23        15
        13       706       682        24        15
        14       747       719        24        16
        15       722       716        23        15
        16       760       657        24        17
        17       694       771        23        14
        18       719       704        24        16
        19       746       723        24        16
        20       738       712        23        15
        21       696       708        24        14
        22       757       700        24        16
        23       697       703        24        16
        24       696       731        24        15
        25       682       731        24        16
        26       689       701        23        16
        27       751       759        23        14
        28       761       746        25        14
        29       718       714        23        16
        30       652       740        24        15
        31       694       732        23        15
        32       744       777        24        17
        33       727       783        24        16
        34       625       728        24        17
        35       764       697        24        16
        36       673       721        24        16
        37       703       731        24        16
        38       713       750        24        16
        39       673       705        24        15
        40       791       737        24        16
        41       671       720        24        16
        42       739       731        23        17
        43       723       727        24        15
        44       733       731        24        16
        45       751       693        24        15
        46       657       686        24        16
        47       753       716        24        15
        48       732       731        24        16
        49       698       695        24        17
        50       699       742        24        15
        51       693       721        24        16
        52       719       739        25        15
        53       712       725        24        14
        54       725       715        24        17
        55       728       684        24        15
        56       694       695        25        16
        57       773       730        24        14
        58       712       704        24        17
        59       750       715        24        16
        60       719       702        24        16
        61       753       737        24        15
        62       733       724        24        17
        63       677       708        24        17
        64       711       705        24        16
        65       693       715        25        16
        66       718       743        24        16
        67       752       693        24        15
        68       792       711        24        14
        69       752       744        24        15
        70       757       742        24        16
        71       717       677        25        15
        72       680       722        24        14
        73       668       675        24        16
        74       751       722        24        16
        75       737       740        24        15
        76       690       690        24        17
        77       714       740        25        15
        78       694       682        23        16
        79       735       754        24        15
        80       732       687        24        14
        81       768       679        24        17
        82       727       729        24        16
        83       713       750        25        15
        84       702       746        25        16
        85       701       750        24        15
        86       730       759        24        14
        87       685       717        25        16
        88       713       744        24        17
        89       725       741        24        17
        90       723       660        24        16
        91       714       725        24        15
        92       744       692        25        14
        93       753       745        24        15
        94       711       747        24        16
        95       719       716        24        15
        96       716       708        25        17
        97       687       709        24        15
        98       709       718        24        16
        99       726       700        24        15
       100       723       741        24        17
       101       688       717        25        16
       102       733       725        24        17
       103       699       703        24        17
       104       699       686        24        14
       105       722       717        24        16
       106       701       710        25        17
       107       713       702        24        17
       108       673       711        24        16
       109       728       684        25        16
       110       741       713        24        15
       111       756       722        24        16
       112       787       710        24        17
       113       712       750        24        16
       114       713       701        24        16
       115       742       711        24        14
       116       686       747        25        13
       117       705       767        24        16
       118       711       709        24        16
       119       715       712        25        15
       120       716       747        24        17
       121       763       732        24        16
       122       701       681        24        15
       123       748       716        24        16
       124       702       697        24        16
       125       723       730        24        17
       126       696       735        24        15
       127       729       753        24        17
       128       719       706        24        15
       129       742       757        24        16
       130       686       736        24        17
       131       696       678        24        16
       132       726       747        25        16
       133       699       720        25        15
       134       730       746        25        16
       135       743       726        24        16
       136       707       727        24        16
       137       711       703        24        15
       138       722       712        24        15
       139       752       717        24        16
       140       708       718        24        16
       141       787       741        24        16
       142       704       740        25        16
       143       699       734        24        16
       144       665       662        24        15
       145       706       704        25        16
       146       700       725        24        16
       147       756       715        24        15
       148       687       701        24        16
       149       700       716        24        15
       150       688       649        24        17
       151       732       750        24        15
       152       691       720        25        15
       153       719       689        25        16
       154       761       731        24        15
       155       696       713        24        16
       156       730       734        24        16
       157       776       733        25        17
       158       741       739        25        16
       159       739       747        25        16
       160       652       718        25        16
       161       705       740        23        15
       162       768       737        24        16
       163       684       738        25        16
       164       720       712        24        15
       165       734       743        24        15
       166       710       730        24        16
       167       650       772        25        16
       168       713       751        25        16
       169       706       711        24        16
       170       719       704        24        17
       171       704       745        25        16
       172       749       711        24        17
       173       671       723        24        17
       174       721       732        24        15
       175       726       717        24        14
       176       717       752        24        16
       177       711       751        26        15
       178       704       673        25        15
       179       770       751        24        16
       180       762       701        24        16
       181       720       685        24        15
       182       703       745        24        14
       183       745       698        24        17
       184       714       684        24        16
       185       686       719        24        15
       186       692       729        24        15
       187       757       753        24        17
       188       690       761        24        15
       189       712       733        24        17
       190       686       726        25        13
       191       752       752        25        14
       192       719       768        24        16
       193       667       711        24        15
       194       728       717        25        16
       195       651       762        24        14
       196       712       722        24        14
       197       714       749        25        16
       198       733       750        25        15
       199       761       724        25        14
       200       756       704        24        17
       201       772       753        24        16
       202       714       781        25        15
       203       685       748        24        16
       204       682       755        25        16
       205       707       689        24        16
       206       674       728        25        16
       207       726       720        24        16
       208       735       744        24        15
       209       689       720        24        15
       210       752       729        24        16
       211       731       695        24        16
       212       707       738        25        16
       213       731       776        24        17
       214       778       663        25        17
       215       730       737        25        16
       216       731       736        24        15
       217       713       760        25        14
       218       658       699        25        16
       219       731       720        24        14
       220       709       760        25        16
       221       727       694        24        15
       222       741       710        24        15
       223       733       763        24        15
       224       691       672        24        17
       225       681       712        24        17
       226       715       750        25        16
       227       740       700        25        16
       228       733       750        24        15
       229       742       725        24        13
       230       784       716        25        15
       231       657       730        24        16
       232       741       703        25        14
       233       742       704        24        15
       234       744       728        25        17
       235       718       685        24        16
       236       730       722        25        14
       237       715       682        25        17
       238       726       721        25        17
       239       696       746        25        16
       240       705       723        25        15
       241       730       720        24        14
       242       757       704        24        15
       243       737       735        26        16
       244       671       735        24        16
       245       742       758        25        16
       246       706       764        25        16
       247       719       750        25        16
       248       690       668        24        17
       249       762       774        24        17
       250       742       733        24        16
       251       790       701        26        17
       252       689       669        24        17
       253       749       728        25        14
       254       672       734        24        15
       255       769       721        24        14
       256       724       699        25        17
       257       694       689        24        16
       258       713       705        25        17
       259       689       714        25        16
       260       705       709        24        16
       261       762       748        24        16
       262       707       711        24        16
       263       710       715        24        16
       264       699       655        24        16
       265       689       689        24        17
       266       752       717        24        16
       267       757       720        24        15
       268       671       679        25        15
       269       764       747        24        13
       270       673       708        25        16
       271       632       708        24        15
       272       736       711        24        14
       273       699       712        25        16
       274       697       743        25        15
       275       719       707        25        16
       276       717       751        25        16
       277       713       720        25        16
       278       754       703        25        16
       279       761       760        25        15
       280       775       774        24        15
       281       713       734        25        16
       282       802       748        25        15
       283       756       720        24        17
       284       664       708        24        16
       285       736       727        25        16
       286       765       702        24        14
       287       671       753        24        16
       288       685       719        24        16
       289       728       767        24        16
       290       751       693        25        16
       291       684       707        25        16
       292       784       743        25        16
       293       736       755        25        16
       294       748       727        24        17
       295       733       762        25        15
       296       701       723        25        15
       297       729       729        25        13
       298       720       737        25        15
       299       752       732        25        15
       300       755       760        26        14
       301       705       737        25        15
       302       761       764        26        15
       303       777       677        24        16
       304       747       706        24        16
       305       689       673        24        16
       306       726       796        24        16
       307       737       707        24        16
       308       749       724        25        16
       309       725       686        25        16
       310       762       742        25        16
       311       727       760        25        15
       312       776       719        24        15
       313       739       747        25        16
       314       694       722        24        16
       315       739       732        25        16
       316       776       714        25        16
       317       756       741        25        14
       318       727       736        24        16
       319       733       780        24        15
       320       756       688        24        15
       321       729       746        24        16
       322       733       716        24        16
